matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
144,sddmm,1 4 32 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 15.7612 ms,15.7612,15.7078
192bit,sddmm,1 1 8 i1 j1 j0 i0 k1 k0 1 1 0 0 i1 48 4 = 0.387722 ms,0.387722,8.86872
208bit,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 8.94493 ms,8.94493,9.09577
2D_27628_bjtcai,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 8.9482 ms,8.9482,9.00181
2D_54019_highK,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 4 = 9.44843 ms,9.44843,9.73365
2cubes_sphere,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 10.67 ms,10.67,11.6238
3D_28984_Tetra,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 9.04357 ms,9.04357,9.11908
3D_51448_3D,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 9.41661 ms,9.41661,9.58702
3Dspectralwave2,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 18.1375 ms,18.1375,18.3708
3dtube,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 10.3059 ms,10.3059,10.5436
598a,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 13.2524 ms,13.2524,15.7182
ABACUS_shell_hd,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.84854 ms,8.84854,8.88096
ABACUS_shell_ld,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.8642 ms,8.8642,8.84959
ABACUS_shell_md,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.84618 ms,8.84618,8.91097
ABACUS_shell_ud,sddmm,1 1 128 j1 j0 i1 k1 i0 k0 0 0 1 0 j1 48 16 = 0.266332 ms,0.266332,8.91647
ASIC_100k,sddmm,1 1 8 i1 j1 j0 i0 k1 k0 1 1 0 0 i1 48 4 = 17.2742 ms,17.2742,22.6596
ASIC_100ks,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 10.1039 ms,10.1039,10.463
ASIC_320k,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 30.2926 ms,30.2926,31.0583
ASIC_320ks,sddmm,1 4 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 32 = 13.7543 ms,13.7543,14.9709
ASIC_680k,sddmm,1 4 1 j1 i1 i0 j0 k1 k0 0 0 0 1 j1 48 32 = 77.9386 ms,77.9386,60.7606
ASIC_680ks,sddmm,32 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 16 = 17.0577 ms,17.0577,19.9995
Andrews,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 10.2112 ms,10.2112,10.8488
Baumann,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 8 = 10.4335 ms,10.4335,11.3083
CAG_mat1916,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 8.76138 ms,8.76138,8.69567
CO,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 17.1433 ms,17.1433,18.4862
Chebyshev4,sddmm,1 4 32 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 11.8178 ms,11.8178,28.2536
Chevron1,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 8 = 8.92129 ms,8.92129,9.02511
Chevron2,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 9.83537 ms,9.83537,10.5564
Chevron3,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 14.4754 ms,14.4754,17.7908
Chevron4,sddmm,32 1 8 i1 i0 j1 j0 k1 k0 0 1 0 1 i1 48 32 = 19.9989 ms,19.9989,25.4314
CurlCurl_0,sddmm,1 1 16 i1 j1 j0 i0 k1 k0 0 1 0 1 i1 48 8 = 0.219567 ms,0.219567,8.75951
CurlCurl_1,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 8 = 12.5284 ms,12.5284,13.5673
D6-6,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 8.93344 ms,8.93344,9.19343
Delor295K,sddmm,32 1 1 i1 j1 j0 i0 k1 k0 1 0 0 1 i1 48 4 = 14.1805 ms,14.1805,16.2961
Delor338K,sddmm,32 1 1 i1 j1 j0 i0 k1 k0 1 0 0 0 i1 48 32 = 14.2637 ms,14.2637,16.2132
Delor64K,sddmm,16 1 1 i1 j1 j0 i0 k1 k0 0 0 0 1 i1 48 4 = 10.5185 ms,10.5185,11.023
Dubcova1,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 4 = 0.534935 ms,0.534935,8.90488
Dubcova2,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 10.0618 ms,10.0618,10.3999
Dubcova3,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 14.4 ms,14.4,14.9158
EAT_RS,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 8 = 0.477063 ms,0.477063,9.12688
EAT_SR,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 9.07594 ms,9.07594,9.07159
ESOC,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 13.2433 ms,13.2433,12.8423
EX5,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 8.87446 ms,8.87446,8.91953
EX6,sddmm,32768 1 128 j1 j0 i1 i0 k1 k0 1 0 1 0 j1 48 4 = 0.355528 ms,0.355528,8.95926
EternityII_A,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 9.69118 ms,9.69118,11.6797
EternityII_E,sddmm,1 4 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 16 = 10.9671 ms,10.9671,19.1951
EternityII_Etilde,sddmm,1 2 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 16 = 10.2244 ms,10.2244,13.1833
F2,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 12.3219 ms,12.3219,12.6623
FEM_3D_thermal1,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.94106 ms,8.94106,8.99807
FEM_3D_thermal2,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 11.8336 ms,11.8336,12.6327
FX_March2010,sddmm,16384 1 1 j1 j0 i1 i0 k1 k0 1 0 1 1 j1 48 4 = 8.89963 ms,8.89963,9.83009
Franz11,sddmm,4 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 5.54881 ms,5.54881,9.08903
Franz8,sddmm,1 16 128 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 1 = 8.67026 ms,8.67026,8.77015
G2_circuit,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 10.9182 ms,10.9182,11.9839
G3_circuit,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 32 = 36.0081 ms,36.0081,47.0802
