matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
144,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 14.483 ms,14.483,16.6315
192bit,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 8.73031 ms,8.73031,0.178605
208bit,spmm,1 1 128 i1 i0 j1 k1 k0 j0 1 1 0 0 i1 48 8 = 8.91844 ms,8.91844,8.962
2D_27628_bjtcai,spmm,16 4 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 8.97562 ms,8.97562,9.02682
2D_54019_highK,spmm,2 1 64 i1 k1 j1 k0 i0 j0 1 1 0 0 i1 48 64 = 9.47778 ms,9.47778,9.88562
2cubes_sphere,spmm,1 1 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 128 = 10.7962 ms,10.7962,11.894
3D_28984_Tetra,spmm,16 32 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 9.00915 ms,9.00915,9.1024
3D_51448_3D,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.46598 ms,9.46598,9.79347
3Dspectralwave2,spmm,1 1 128 i1 i0 j1 k1 k0 j0 1 1 0 0 i1 48 8 = 17.122 ms,17.122,18.887
3dtube,spmm,2 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 64 = 10.1585 ms,10.1585,10.68
598a,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 13.8861 ms,13.8861,16.2071
ABACUS_shell_hd,spmm,32 32 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 8.8307 ms,8.8307,8.95
ABACUS_shell_ld,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.85147 ms,8.85147,8.95864
ABACUS_shell_md,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 8.84936 ms,8.84936,8.93159
ABACUS_shell_ud,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.83699 ms,8.83699,8.91615
ASIC_100k,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 13.243 ms,13.243,25.2952
ASIC_100ks,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 10.2181 ms,10.2181,11.1018
ASIC_320k,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 28.5879 ms,28.5879,32.611
ASIC_320ks,spmm,16 1 1 i1 i0 k1 k0 j1 j0 1 0 0 0 i1 48 8 = 14.657 ms,14.657,16.9072
ASIC_680k,spmm,4 1 128 i1 i0 k1 j1 k0 j0 0 0 0 1 i1 48 32 = 55.7226 ms,55.7226,58.9102
ASIC_680ks,spmm,4 1 128 i1 i0 k1 j1 k0 j0 0 0 0 1 i1 48 32 = 19.9986 ms,19.9986,26.5393
Andrews,spmm,16 1 1 i1 i0 k1 k0 j1 j0 1 0 0 0 i1 48 4 = 10.2457 ms,10.2457,11.1595
Baumann,spmm,1 1 128 i1 j1 i0 k1 k0 j0 1 0 0 0 i1 48 64 = 10.7861 ms,10.7861,11.8803
CAG_mat1916,spmm,4 64 1 i1 k1 i0 k0 j1 j0 1 0 0 0 i1 48 2 = 0.133679 ms,0.133679,8.67527
CO,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 17.1161 ms,17.1161,17.1886
Chebyshev4,spmm,16 16 1 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 1 = 14.7482 ms,14.7482,28.3506
Chevron1,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 0.396051 ms,0.396051,9.16058
Chevron2,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 10.3764 ms,10.3764,11.0487
Chevron3,spmm,2 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 64 = 16.3172 ms,16.3172,16.9555
Chevron4,spmm,32 16384 128 i1 i0 j1 k1 k0 j0 0 1 0 0 i1 48 16 = 19.9998 ms,19.9998,28.8735
CurlCurl_0,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.69063 ms,8.69063,8.71997
